class,filename,path,url,data_origin,retrieved_date,issuing_authority,PDF_or_text
Circulers,Mf BL 79 II.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\Mf BL 79 II.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 89.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 89.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 99.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 99.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL0001.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL0001.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL022 1970 12 10 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL022 1970 12 10 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL028 1973 11 09 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL028 1973 11 09 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL054 1982 01 20 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL054 1982 01 20 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL057 1983 03 08 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL057 1983 03 08 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL058 1983 04 12 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL058 1983 04 12 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL059 1983 10 10 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL059 1983 10 10 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL060 1984 02 06 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL060 1984 02 06 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL061 1984 08 30 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL061 1984 08 30 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL063 1985 02 21 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL063 1985 02 21 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL064 1985 06 17 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL064 1985 06 17 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL065 1986 02 26 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL065 1986 02 26 S.pdf,,original_dataset,,Tea Board Circulers,
